DATA DA VENDA,SETOR,PRODUTO,VENDEDOR,REGIÃO,ESTADO,CLIENTE,FATURAMENTO,MARGEM DE LUCRO,LUCRO_CALCULADO
2035-01-13 00:00:00,Congelados,Pizza,Evandro,Sul,Rio Grande do Sul,Atacado,973.69,0.12,116.84
2035-01-31 00:00:00,Carnes,Bovina,Daniele,Sul,Rio Grande do Sul,Varejo,899.62,0.19,170.93
2035-01-14 00:00:00,Bebidas,Refrigerantes,Daniele,Sul,Rio Grande do Sul,Atacarejo,570.5,0.05,28.52
2035-01-14 00:00:00,Congelados,Lasanha,Vanessa,Sudeste,Rio de Janeiro,Varejo,731.45,0.19,138.98
2035-01-15 00:00:00,Laticínio,Coalhada,Vanessa,Nordeste,Bahia,Atacado,551.55,0.11,60.67
2035-01-15 00:00:00,Bebidas,Sucos,Daniele,Nordeste,Sergipe,Atacarejo,829.13,0.16,132.66
2035-01-15 00:00:00,Laticínio,Sorvete,Evandro,Sul,Santa Catarina,Atacarejo,700.4,0.14,98.06
2035-01-15 00:00:00,Laticínio,Leite,Daniele,Sul,Rio Grande do Sul,Varejo,582.19,0.12,106.51
2035-01-31 00:00:00,Carnes,Frango,Leo,Sudeste,Rio de Janeiro,Atacarejo,537.69,0.13,69.9
2035-01-15 00:00:00,Carnes,Frango,Jonas,Nordeste,Sergipe,Atacado,929.67,0.16,148.75
2035-01-15 00:00:00,Carnes,Frango,Amaral,Sul,Rio Grande do Sul,Atacarejo,876.24,0.18,157.72
2035-01-15 00:00:00,Congelados,Pizza,Amaral,Nordeste,Bahia,Atacarejo,576.89,0.18,103.84
2035-01-15 00:00:00,Bebidas,Refrigerantes,Daniele,Sudeste,Rio de Janeiro,Varejo,628.0,0.1,62.8
2035-01-15 00:00:00,Carnes,Suína,Evandro,Nordeste,Rio Grande do Norte,Varejo,939.54,0.05,46.98
2035-01-16 00:00:00,Congelados,Pizza,Vanessa,Sudeste,São Paulo,Atacarejo,774.61,0.12,92.95
2035-01-16 00:00:00,Congelados,Pizza,Jonas,Sudeste,São Paulo,Atacado,686.07,0.15,102.91
2035-01-16 00:00:00,Laticínio,Leite,Daniele,Sudeste,Minas Gerais,Varejo,571.88,0.11,62.91
2035-01-16 00:00:00,Bebidas,Sucos,Vanessa,Sul,Rio Grande do Sul,Varejo,600.81,0.12,72.1
2035-01-18 00:00:00,Bebidas,Sucos,Vanessa,Nordeste,Bahia,Atacado,580.08,0.18,104.41
2035-01-18 00:00:00,Carnes,Bovina,Vanessa,Sudeste,Rio de Janeiro,Atacarejo,896.63,0.12,106.51
2035-01-18 00:00:00,Laticínio,Coalhada,Daniele,Sul,Rio Grande do Sul,Atacarejo,816.27,0.08,65.3
2035-01-18 00:00:00,Congelados,Pizza,Evandro,Sul,Paraná,Atacarejo,529.34,0.15,79.4
2035-01-19 00:00:00,Congelados,Pizza,Daniele,Nordeste,Sergipe,Varejo,887.08,0.12,106.51
2035-01-19 00:00:00,Bebidas,Sucos,Daniele,Sudeste,Minas Gerais,Atacarejo,899.39,0.16,143.9
2035-01-19 00:00:00,Bebidas,Refrigerantes,Amaral,Sudeste,Minas Gerais,Atacado,798.73,0.12,106.51
2035-01-19 00:00:00,Congelados,Lasanha,Amaral,Nordeste,Bahia,Atacarejo,760.72,0.17,129.32
2035-01-20 00:00:00,Carnes,Bovina,Amaral,Nordeste,Sergipe,Atacado,985.95,0.11,108.45
2035-01-20 00:00:00,Carnes,Bovina,Vanessa,Sudeste,São Paulo,Atacado,794.46,0.13,103.28
2035-01-20 00:00:00,Congelados,Lasanha,Vanessa,Sul,Rio Grande do Sul,Atacarejo,768.21,0.13,99.87
2035-01-21 00:00:00,Congelados,Pizza,Jonas,Sudeste,Minas Gerais,Atacado,608.09,0.14,85.13
2035-01-31 00:00:00,Bebidas,Cervejas,Jonas,Sul,Paraná,Atacado,896.63,0.16,106.51
2035-01-21 00:00:00,Laticínio,Sorvete,Jonas,Nordeste,Sergipe,Varejo,652.89,0.12,106.51
2035-01-22 00:00:00,Laticínio,Leite,Jonas,Sudeste,Rio de Janeiro,Varejo,736.8,0.19,139.99
2035-01-22 00:00:00,Congelados,Pizza,Evandro,Sul,Paraná,Atacarejo,602.04,0.16,96.33
2035-01-23 00:00:00,Laticínio,Queijo,Daniele,Nordeste,Sergipe,Varejo,909.07,0.19,172.72
2035-01-24 00:00:00,Congelados,Pizza,Leo,Nordeste,Sergipe,Atacado,708.76,0.18,127.58
2035-01-24 00:00:00,Laticínio,Leite,Vanessa,Sudeste,Rio de Janeiro,Atacado,771.18,0.1,77.12
2035-01-24 00:00:00,Carnes,Bovina,Vanessa,Sul,Paraná,Atacado,780.77,0.17,132.73
2035-01-31 00:00:00,Congelados,Lasanha,Vanessa,Sul,Rio Grande do Sul,Varejo,771.71,0.12,92.61
2035-01-25 00:00:00,Congelados,Pizza,Vanessa,Sul,Santa Catarina,Atacarejo,811.65,0.07,56.82
2035-01-25 00:00:00,Carnes,Bovina,Vanessa,Nordeste,Bahia,Atacado,600.99,0.08,48.08
2035-01-25 00:00:00,Carnes,Bovina,Vanessa,Sul,Rio Grande do Sul,Atacado,784.69,0.05,39.23
2035-01-25 00:00:00,Bebidas,Refrigerantes,Daniele,Sudeste,Rio de Janeiro,Atacarejo,974.18,0.07,68.19
2035-01-25 00:00:00,Congelados,Lasanha,Jonas,Sul,Paraná,Varejo,952.17,0.12,114.26
2035-01-25 00:00:00,Bebidas,Refrigerantes,Leo,Sudeste,Rio de Janeiro,Varejo,804.64,0.09,72.42
2035-01-25 00:00:00,Congelados,Pizza,Daniele,Nordeste,Rio Grande do Norte,Varejo,994.85,0.19,189.02
2035-01-26 00:00:00,Carnes,Bovina,Amaral,Sul,Paraná,Atacado,899.37,0.08,71.95
2035-01-26 00:00:00,Carnes,Suína,Amaral,Sul,Paraná,Atacarejo,576.13,0.11,63.37
2035-01-26 00:00:00,Laticínio,Coalhada,Evandro,Sudeste,São Paulo,Varejo,593.18,0.15,88.98
2035-01-27 00:00:00,Carnes,Suína,Vanessa,Sudeste,Minas Gerais,Atacarejo,915.66,0.08,73.25
2035-01-27 00:00:00,Congelados,Lasanha,Vanessa,Sudeste,Minas Gerais,Varejo,918.43,0.13,119.4
2035-01-27 00:00:00,Carnes,Suína,Evandro,Sul,Paraná,Atacado,566.74,0.12,68.01
2035-01-27 00:00:00,Bebidas,Cervejas,Vanessa,Nordeste,Rio Grande do Norte,Atacado,918.28,0.07,64.28
2035-01-28 00:00:00,Congelados,Pizza,Amaral,Sudeste,São Paulo,Varejo,896.63,0.15,106.51
2035-01-28 00:00:00,Bebidas,Cervejas,Daniele,Sul,Santa Catarina,Atacado,847.84,0.05,42.39
2035-01-28 00:00:00,Congelados,Lasanha,Vanessa,Nordeste,Rio Grande do Norte,Varejo,896.63,0.09,106.51
2035-01-28 00:00:00,Carnes,Frango,Amaral,Sul,Paraná,Atacado,738.95,0.11,81.28
2035-01-28 00:00:00,Laticínio,Leite,Leo,Nordeste,Sergipe,Varejo,764.91,0.1,76.49
2035-01-29 00:00:00,Bebidas,Cervejas,Vanessa,Sul,Santa Catarina,Atacarejo,621.88,0.08,49.75
2035-01-29 00:00:00,Carnes,Frango,Leo,Sudeste,Rio de Janeiro,Atacarejo,655.69,0.12,106.51
2035-01-29 00:00:00,Carnes,Suína,Evandro,Sul,Rio Grande do Sul,Atacarejo,962.96,0.15,144.44
2035-01-29 00:00:00,Congelados,Lasanha,Amaral,Sudeste,Rio de Janeiro,Atacarejo,547.61,0.12,65.71
2035-01-29 00:00:00,Bebidas,Sucos,Amaral,Sudeste,Rio de Janeiro,Atacado,668.52,0.1,66.85
2035-01-29 00:00:00,Bebidas,Refrigerantes,Daniele,Nordeste,Rio Grande do Norte,Atacado,709.7,0.05,35.49
2035-01-29 00:00:00,Congelados,Pizza,Daniele,Sudeste,São Paulo,Varejo,620.94,0.18,111.77
2035-01-29 00:00:00,Laticínio,Leite,Daniele,Sudeste,Rio de Janeiro,Varejo,661.69,0.18,119.1
2035-01-30 00:00:00,Bebidas,Refrigerantes,Vanessa,Sudeste,Minas Gerais,Atacado,811.36,0.12,97.36
2035-01-30 00:00:00,Laticínio,Queijo,Evandro,Sul,Santa Catarina,Varejo,926.09,0.07,64.83
2035-01-30 00:00:00,Carnes,Bovina,Jonas,Sul,Rio Grande do Sul,Atacado,748.02,0.05,37.4
2035-01-30 00:00:00,Bebidas,Cervejas,Amaral,Sul,Paraná,Atacarejo,746.12,0.14,104.46
2035-01-30 00:00:00,Congelados,Pizza,Daniele,Sul,Santa Catarina,Atacarejo,750.23,0.17,127.54
2035-01-31 00:00:00,Laticínio,Coalhada,Vanessa,Sul,Rio Grande do Sul,Atacado,536.78,0.1,53.68
2035-01-31 00:00:00,Carnes,Frango,Vanessa,Sudeste,Minas Gerais,Atacado,949.31,0.18,170.88
2035-01-31 00:00:00,Bebidas,Cervejas,Vanessa,Nordeste,Rio Grande do Norte,Atacarejo,807.58,0.12,106.51
2035-01-31 00:00:00,Carnes,Suína,Vanessa,Nordeste,Bahia,Varejo,873.75,0.13,113.59
2035-01-31 00:00:00,Congelados,Pizza,Daniele,Sul,Rio Grande do Sul,Varejo,953.6,0.06,57.22
2035-01-31 00:00:00,Congelados,Pizza,Amaral,Nordeste,Rio Grande do Norte,Varejo,725.56,0.12,106.51
2035-01-31 00:00:00,Laticínio,Leite,Leo,Sudeste,São Paulo,Atacarejo,569.51,0.07,39.87
2035-01-31 00:00:00,Bebidas,Refrigerantes,Jonas,Sudeste,Minas Gerais,Atacarejo,687.36,0.11,75.61
2035-01-31 00:00:00,Carnes,Suína,Evandro,Sudeste,São Paulo,Atacarejo,890.52,0.05,44.53
2035-01-31 00:00:00,Congelados,Pizza,Leo,Sul,Paraná,Atacado,672.4,0.12,80.69
2035-02-01 00:00:00,Laticínio,Sorvete,Evandro,Sudeste,Minas Gerais,Atacado,980.1,0.08,78.41
2035-02-01 00:00:00,Laticínio,Coalhada,Vanessa,Sul,Rio Grande do Sul,Atacarejo,548.99,0.07,38.43
2035-02-01 00:00:00,Congelados,Lasanha,Amaral,Sul,Rio Grande do Sul,Varejo,902.77,0.05,45.14
2035-02-01 00:00:00,Bebidas,Cervejas,Daniele,Sudeste,Minas Gerais,Atacarejo,913.17,0.16,146.11
2035-02-02 00:00:00,Congelados,Pizza,Vanessa,Nordeste,Rio Grande do Norte,Atacarejo,625.04,0.15,93.76
2035-02-02 00:00:00,Laticínio,Queijo,Amaral,Sudeste,Minas Gerais,Atacado,995.04,0.12,106.51
2035-02-02 00:00:00,Bebidas,Sucos,Amaral,Sul,Santa Catarina,Atacarejo,601.72,0.11,66.19
2035-02-02 00:00:00,Congelados,Pizza,Amaral,Nordeste,Bahia,Varejo,808.27,0.15,121.24
2035-02-03 00:00:00,Bebidas,Sucos,Vanessa,Sudeste,Minas Gerais,Varejo,896.63,0.15,106.51
2035-02-03 00:00:00,Congelados,Lasanha,Amaral,Nordeste,Rio Grande do Norte,Atacarejo,721.72,0.09,64.95
2035-02-03 00:00:00,Congelados,Lasanha,Vanessa,Sul,Santa Catarina,Atacado,665.06,0.17,113.06
2035-02-03 00:00:00,Congelados,Pizza,Amaral,Sul,Santa Catarina,Atacado,924.64,0.05,46.23
2035-02-04 00:00:00,Bebidas,Sucos,Amaral,Sudeste,Rio de Janeiro,Varejo,647.89,0.09,58.31
2035-02-04 00:00:00,Carnes,Bovina,Evandro,Sudeste,Rio de Janeiro,Atacarejo,731.45,0.06,43.89
2035-02-04 00:00:00,Congelados,Lasanha,Vanessa,Sul,Santa Catarina,Atacarejo,531.0,0.09,47.79
2035-02-04 00:00:00,Carnes,Suína,Vanessa,Sudeste,São Paulo,Varejo,859.76,0.14,120.37
2035-02-04 00:00:00,Carnes,Bovina,Amaral,Sudeste,Rio de Janeiro,Atacado,835.58,0.06,50.13
2035-02-05 00:00:00,Carnes,Frango,Amaral,Nordeste,Rio Grande do Norte,Atacarejo,896.63,0.12,106.51
2035-02-05 00:00:00,Bebidas,Sucos,Evandro,Sudeste,Rio de Janeiro,Varejo,919.69,0.12,106.51
2035-02-05 00:00:00,Congelados,Lasanha,Vanessa,Sul,Rio Grande do Sul,Varejo,553.97,0.13,72.02
2035-02-05 00:00:00,Bebidas,Sucos,Vanessa,Sudeste,Minas Gerais,Atacado,820.84,0.06,49.25
2035-02-05 00:00:00,Carnes,Frango,Daniele,Sudeste,Minas Gerais,Atacado,741.37,0.13,96.38
2035-02-06 00:00:00,Bebidas,Sucos,Amaral,Sudeste,São Paulo,Atacarejo,873.77,0.09,78.64
2035-02-06 00:00:00,Bebidas,Cervejas,Daniele,Nordeste,Rio Grande do Norte,Varejo,726.75,0.19,138.08
2035-02-06 00:00:00,Bebidas,Refrigerantes,Amaral,Sudeste,São Paulo,Atacarejo,902.26,0.18,162.41
2035-02-07 00:00:00,Carnes,Bovina,Vanessa,Sudeste,Rio de Janeiro,Atacarejo,771.3,0.06,46.28
2035-02-07 00:00:00,Congelados,Pizza,Amaral,Sudeste,São Paulo,Atacarejo,914.96,0.05,45.75
2035-02-07 00:00:00,Congelados,Pizza,Amaral,Nordeste,Rio Grande do Norte,Atacarejo,541.24,0.19,102.84
2035-02-07 00:00:00,Bebidas,Cervejas,Daniele,Sudeste,São Paulo,Varejo,573.96,0.13,74.61
2035-02-08 00:00:00,Carnes,Suína,Daniele,Sul,Santa Catarina,Varejo,679.21,0.13,88.3
2035-02-08 00:00:00,Congelados,Lasanha,Amaral,Sudeste,São Paulo,Atacado,877.59,0.19,166.74
2035-02-08 00:00:00,Carnes,Bovina,Amaral,Sul,Rio Grande do Sul,Varejo,595.13,0.16,95.22
2035-02-09 00:00:00,Carnes,Frango,Amaral,Nordeste,Rio Grande do Norte,Atacarejo,719.06,0.17,122.24
2035-02-09 00:00:00,Laticínio,Coalhada,Daniele,Nordeste,Sergipe,Atacarejo,923.85,0.12,110.86
2035-02-09 00:00:00,Laticínio,Leite,Leo,Sudeste,São Paulo,Varejo,963.49,0.08,77.08
2035-02-09 00:00:00,Congelados,Pizza,Vanessa,Nordeste,Sergipe,Varejo,540.18,0.18,97.23
2035-02-09 00:00:00,Laticínio,Leite,Amaral,Nordeste,Bahia,Atacarejo,948.61,0.08,75.89
2035-02-09 00:00:00,Laticínio,Leite,Leo,Sul,Rio Grande do Sul,Atacarejo,545.56,0.1,54.56
2035-02-09 00:00:00,Carnes,Frango,Amaral,Sudeste,Minas Gerais,Varejo,539.35,0.15,80.9
2035-02-10 00:00:00,Bebidas,Refrigerantes,Daniele,Nordeste,Rio Grande do Norte,Atacarejo,619.86,0.08,49.59
2035-02-10 00:00:00,Laticínio,Sorvete,Daniele,Sudeste,Rio de Janeiro,Atacado,607.67,0.12,106.51
2035-02-11 00:00:00,Congelados,Lasanha,Amaral,Sul,Paraná,Varejo,656.82,0.13,85.39
2035-02-11 00:00:00,Bebidas,Refrigerantes,Jonas,Nordeste,Bahia,Atacarejo,896.63,0.16,106.51
2035-01-31 00:00:00,Laticínio,Coalhada,Daniele,Sudeste,Minas Gerais,Atacarejo,753.98,0.18,135.72
2035-02-12 00:00:00,Bebidas,Refrigerantes,Daniele,Nordeste,Bahia,Atacarejo,739.07,0.1,73.91
2035-02-12 00:00:00,Congelados,Lasanha,Amaral,Sudeste,São Paulo,Atacarejo,896.63,0.14,106.51
2035-02-12 00:00:00,Congelados,Pizza,Amaral,Sudeste,Minas Gerais,Atacado,736.97,0.19,140.02
2035-02-12 00:00:00,Bebidas,Refrigerantes,Jonas,Nordeste,Rio Grande do Norte,Varejo,726.4,0.11,79.9
2035-02-12 00:00:00,Bebidas,Refrigerantes,Jonas,Nordeste,Bahia,Atacarejo,831.72,0.19,158.03
2035-01-31 00:00:00,Laticínio,Sorvete,Daniele,Sul,Rio Grande do Sul,Varejo,654.3,0.1,65.43
2035-02-13 00:00:00,Carnes,Suína,Vanessa,Sul,Rio Grande do Sul,Atacarejo,754.85,0.19,143.42
2035-02-13 00:00:00,Bebidas,Refrigerantes,Leo,Nordeste,Sergipe,Varejo,542.6,0.19,103.09
2035-02-13 00:00:00,Carnes,Suína,Amaral,Sudeste,Minas Gerais,Varejo,743.98,0.12,106.51
2035-02-14 00:00:00,Laticínio,Leite,Daniele,Nordeste,Sergipe,Atacarejo,542.8,0.14,75.99
2035-02-14 00:00:00,Laticínio,Queijo,Jonas,Nordeste,Sergipe,Atacarejo,609.54,0.15,91.43
2035-02-15 00:00:00,Laticínio,Coalhada,Vanessa,Sul,Rio Grande do Sul,Varejo,910.7,0.06,54.64
2035-02-15 00:00:00,Congelados,Pizza,Amaral,Nordeste,Bahia,Atacarejo,716.99,0.12,86.04
2035-02-15 00:00:00,Carnes,Frango,Vanessa,Sudeste,Rio de Janeiro,Varejo,686.54,0.19,130.44
2035-02-15 00:00:00,Carnes,Frango,Vanessa,Nordeste,Rio Grande do Norte,Atacarejo,565.01,0.08,45.2
2035-02-15 00:00:00,Bebidas,Sucos,Jonas,Sudeste,Minas Gerais,Varejo,558.61,0.1,55.86
2035-01-31 00:00:00,Laticínio,Leite,Amaral,Nordeste,Rio Grande do Norte,Atacarejo,627.97,0.15,94.2
2035-02-16 00:00:00,Bebidas,Sucos,Leo,Sudeste,Rio de Janeiro,Varejo,845.07,0.11,92.96
2035-02-17 00:00:00,Congelados,Lasanha,Vanessa,Sudeste,Minas Gerais,Atacarejo,922.66,0.12,106.51
2035-02-17 00:00:00,Congelados,Pizza,Leo,Sudeste,Minas Gerais,Atacado,947.0,0.08,75.76
2035-02-17 00:00:00,Bebidas,Cervejas,Amaral,Nordeste,Sergipe,Varejo,688.85,0.11,75.77
2035-02-17 00:00:00,Congelados,Lasanha,Daniele,Nordeste,Rio Grande do Norte,Varejo,831.15,0.05,41.56
2035-02-17 00:00:00,Congelados,Lasanha,Leo,Sudeste,Rio de Janeiro,Atacado,880.09,0.14,123.21
2035-02-18 00:00:00,Bebidas,Refrigerantes,Vanessa,Nordeste,Bahia,Varejo,760.9,0.1,76.09
2035-02-18 00:00:00,Laticínio,Coalhada,Amaral,Nordeste,Bahia,Atacarejo,780.51,0.08,62.44
2035-02-18 00:00:00,Bebidas,Refrigerantes,Vanessa,Sul,Rio Grande do Sul,Atacarejo,708.61,0.16,113.38
2035-02-18 00:00:00,Bebidas,Refrigerantes,Vanessa,Sudeste,Rio de Janeiro,Atacarejo,751.42,0.05,37.57
2035-02-18 00:00:00,Bebidas,Cervejas,Amaral,Sudeste,São Paulo,Atacado,585.64,0.06,35.14
2035-02-19 00:00:00,Carnes,Suína,Leo,Sul,Paraná,Atacarejo,526.89,0.11,57.96
2035-02-20 00:00:00,Bebidas,Refrigerantes,Vanessa,Sudeste,São Paulo,Atacarejo,541.48,0.06,32.49
2035-02-21 00:00:00,Laticínio,Leite,Vanessa,Nordeste,Sergipe,Varejo,705.64,0.19,134.07
2035-02-21 00:00:00,Bebidas,Sucos,Vanessa,Sudeste,Rio de Janeiro,Varejo,703.14,0.14,98.44
2035-02-21 00:00:00,Laticínio,Coalhada,Amaral,Sudeste,Minas Gerais,Varejo,798.22,0.12,95.79
2035-02-21 00:00:00,Bebidas,Refrigerantes,Vanessa,Sul,Rio Grande do Sul,Atacado,797.52,0.12,106.51
2035-02-22 00:00:00,Bebidas,Refrigerantes,Vanessa,Sul,Paraná,Varejo,557.53,0.12,66.9
2035-02-22 00:00:00,Carnes,Suína,Vanessa,Sul,Santa Catarina,Varejo,626.33,0.1,62.63
2035-02-22 00:00:00,Laticínio,Queijo,Vanessa,Sul,Rio Grande do Sul,Atacado,928.38,0.15,139.26
2035-02-22 00:00:00,Congelados,Lasanha,Amaral,Sudeste,Minas Gerais,Atacarejo,741.46,0.14,103.8
2035-02-23 00:00:00,Carnes,Bovina,Vanessa,Nordeste,Rio Grande do Norte,Atacado,896.63,0.1,106.51
2035-02-23 00:00:00,Carnes,Frango,Amaral,Sudeste,São Paulo,Atacado,567.96,0.12,106.51
2035-02-23 00:00:00,Congelados,Pizza,Leo,Sul,Rio Grande do Sul,Atacado,926.41,0.13,120.43
2035-02-23 00:00:00,Congelados,Lasanha,Leo,Sudeste,São Paulo,Atacado,556.73,0.06,33.4
2035-02-23 00:00:00,Carnes,Suína,Amaral,Sudeste,Minas Gerais,Atacado,673.59,0.14,94.3
2035-02-24 00:00:00,Bebidas,Refrigerantes,Vanessa,Sudeste,São Paulo,Atacarejo,647.89,0.1,64.79
2035-02-24 00:00:00,Congelados,Lasanha,Daniepe,Sudeste,Minas Gerais,Varejo,973.2,0.13,126.52
2035-02-24 00:00:00,Bebidas,Cervejas,Vanessa,Nordeste,Bahia,Atacarejo,851.21,0.17,144.71
2035-02-24 00:00:00,Carnes,Frango,Amaral,Sudeste,Minas Gerais,Atacado,829.56,0.18,149.32
2035-01-31 00:00:00,Carnes,Suína,Leo,Sul,Santa Catarina,Atacado,896.63,0.1,106.51
2035-02-25 00:00:00,Carnes,Suína,Vanessa,Sul,Paraná,Atacarejo,810.01,0.15,121.5
2035-02-25 00:00:00,Carnes,Suína,Jonas,Sudeste,Minas Gerais,Varejo,713.7,0.11,78.51
2035-02-25 00:00:00,Carnes,Suína,Leo,Sudeste,Minas Gerais,Atacarejo,657.8,0.09,59.2
2035-02-25 00:00:00,Laticínio,Queijo,Vanessa,Sudeste,Rio de Janeiro,Varejo,897.89,0.1,89.79
2035-02-25 00:00:00,Laticínio,Leite,Vanessa,Nordeste,Rio Grande do Norte,Atacarejo,781.58,0.06,46.89
2035-02-25 00:00:00,Bebidas,Cervejas,Vanessa,Sul,Santa Catarina,Atacado,603.23,0.15,90.48
2035-02-25 00:00:00,Laticínio,Queijo,Amaral,Sudeste,Rio de Janeiro,Atacarejo,948.56,0.17,161.26
2035-02-25 00:00:00,Bebidas,Refrigerantes,Jonas,Sudeste,Minas Gerais,Atacarejo,845.82,0.06,50.75
