UNNAMED: 0,data da venda,SETOR,PRODUTO,VENDEDOR,região,ESTADO,cliente,FATURAMENTO,margem de lucro,LUCRO,coluna_inutil_0,coluna_inutil_1
,2035-01-04 00:00:00,Latícinio,Leite,Vanessa,Nordeste,Rio Grande do Norte,Avacarejo,"785,33","0,12","94,2396",V2HZd,V3TIr
,2035-01-05 00:00:00,Bebidas,Sucos,,,Rio Grande do Sul,Atacarejo,856.98,"0,09",77.12819999999999,oIrhu,UFObv
,2035-01-05 00:00:00,Latícinio,Leite,Vansssa,Nordeste,Rio Grande do Norte,Atacado,"548,55","0,15",82.28249999999998,EBnQz,5wrZw
,2035-01-06 00:00:00,Congelados,Sorvete,Evandro,Nordesfe,Rio Grande do Norte,Atacarejo,"905,39","0,19","172,0241",VPQMw,Mtx0p
,2035-01-06 00:00:00,Congelados,Pizza,Vapessa,Nordeste,,,629.28,"0,18",113.2704,ejX9O,0G12A
,,Carnes,Suína,Daniele,Sudeste,Rio de Janeiro,Varejo,755.61,"0,13","98,2293",d7a3j,RklU9
,2035-01-07 00:00:00,Latqcinio,Queijo,,Sudeste,Rio de Janeiro,Atacarejo,"890,26","0,16","142,4416",ANqrJ,xVsN3
nan,2035-01-07 00:00:00,Congelados,Lasazha,Jonas,Nordeste,Bahia,Atacarejo,"570,53","0,1",57.053,Fw5lM,1sq6a
,2035-01-07 00:00:00,Carnps,Frango,Amaral,Sudeste,São Paulo,Atacarejo,"638,61","0,08","51,0888",7Noep,gs2Qg
nan,,Latícinio,Queijo,Leo,Sul,Paraná,Atacarejo,"741,85","0,12",89.022,6lJcq,7aFAF
ran,,Carnes,Suída,Jonas,,Sereipe,Varejo,"791,64","0,08","63,3312",CUiYl,tXgd1
nan,,Bebidas,Sucos,Jonas,Sul,Paraná,Atacarejo,552.08,"0,08","44,1664",o5Yd9,ocQMX
,2035-01-09 00:00:00,Carnes,Suína,Leo,Sml,,Atacarejo,"628,53","0,15",94.2795,l7zok,2glXs
,2035-01-10 00:00:00,Bebidas,Sucos,Vanessa,Nordeste,Sergipe,Atacado,"920,35",nan,"82,8315",LEuPM,6AVsM
nan,2035-01-10 00:00:00,Carnes,Suína,Jonas,Sudeste,Minas Gerais,Varejo,"835,24","0,19","158,6956",mqhMH,JEvvK
nan,2035-01-10 00:00:00,Carnes,Suwna,Vanessa,Nordeste,Bahia,xtacado,"861,01","0,06","51,6606",WEqpn,jDuNe
nan,2035-01-10 00:00:00,Bebidas,Cervejas,Leo,Sul,Rio Grande do Sul,Atacarejo,"533,87",0.05,"26,6935",avmgp,Xwo9Z
,2035-01-11 00:00:00,,Bovina,Vanessa,Nordeste,Rio Grande do Norte,Atacarejo,"778,04",0.09,"70,0236",yUicg,YojFG
,2035-01-11 00:00:00,Latícinio,Queimo,Leo,Nordeste,Bahia,Varejo,"694,17","0,05","34,7085",CaKOf,JGVBK
nan,2035-01-11 00:00:00,Congelados,Lasanha,Amaral,Sudeste,São Paulo,Atacarejo,"685,12","0,06","41,1072",YojT3,8DWBY
nan,2035-01-11 00:00:00,Carnes,Frango,Daniele,Sudeste,Rio de Janeiro,Atachdo,"899,06","0,11","98,8966",o3WIA,mmu1r
nan,2035-01-11 00:00:00,Carnes,Suína,Evandro,Sul,Rio Grande do Sul,Varejo,631.75,"0,05","31,5875",R4OCf,kYQTk
,2035-01-11 00:00:00,Congelados,Pizza,Amaral,Sudeste,Minas Gerais,Varejo,,"0,12",114.50999999999999,uOpGj,V7L6H
,2035-01-12 00:00:00,Bebidas,rucos,Daniele,Sul,,Atacarejo,"747,57","0,1","74,757",xlMpL,GZqLK
,2035-01-12 00:00:00,Latícinio,Quefjo,Aaaral,Nordeste,Rio Grande do Norte,Atkcarejo,"598,97","0,07",41.92790000000001,oykGp,psbI9
,2035-01-12 00:00:00,Carnes,Bovina,Evpndro,Nordeste,Bahia,Atacarejo,"878,75","0,07",61.5125,OIziT,l3XaT
,2035-01-13 00:00:00,Congelados,Sorvete,Vanessa,Sudeste,Rio de Janeiro,Atacarejo,741.03,"0,15",111.1545,rcFyy,q2nkY
nan,2035-01-13 00:00:00,Bebidas,Sucos,Vanessa,,,Varejo,"693,92",0.15,"104,088",mROdn,8b0fi
,2035-01-13 00:00:00,Latícinio,Coalhada,Vanessa,Sudeste,Rio de Janeiro,,"806,29","0,16","129,0064",iE0pR,RDiqL
,2035-01-13 00:00:00,Bebidas,Sucos,Jonas,Sul,Rio Grande do Sul,Atacareno,"690,58","0,08","55,2464",EU6eG,5f7tX
,2035-01-13 00:00:00,Carnes,Frango,Daniele,Nordeste,Rio Grandn do Norte,Atacaqo,"672,37","0,17","114,3029",InRQC,2Hhrd
,2035-01-13 00:00:00,Carnes,Suína,Daniele,Nordeste,Bahia,Atacarejo,"925,2","0,08","74,016",mVgz6,cy7Ah
,2035-01-13 00:00:00,Congelados,Sorvete,Evandro,tul,Paraná,Atacado,"973,69","0,12","116,8428",dzcIs,YlDiW
,,Carnes,Frango,Daniele,Sul,Rio Grande do Sul,Varejo,"899,62","0,19","170,9278",K17gf,7cvXo
,2035-01-14 00:00:00,Bebidas,Refrigerantes,Daniele,Sul,Paraná,Atacarejo,"570,5","0,05",28.525000000000002,zxt7f,yjejP
,2035-01-14 00:00:00,Congelados,Pkzza,Vanessa,Sudeste,Rbo de Janeiro,Varejo,731.45,"0,19",138.9755,Fntbk,4CduU
,2035-01-15 00:00:00,Latícinio,Queijo,,Nordeste,Rio Grande do Norte,Atacado,"551,55","0,11","60,6705",53bdU,1J8c3
,2035-01-15 00:00:00,Bebidas,Cervejas,Daniele,Nordeste,Sergipe,Atacarejo,"829,13",0.16,132.6608,LMdQh,fzr8k
,2035-01-15 00:00:00,Latícinio,Queijo,Evandro,Sul,,Atacarejo,"700,4","0,14","98,056",N6O2u,KJki5
,2035-01-15 00:00:00,Latícinio,Queijo,Daniele,Sul,Rio Grande do Sul,Varejo,582.19,,"98,9723",7RHW4,mRylG
,,Carnes,Frango,Leo,Sudeste,Minas Gerais,,537.69,"0,13","69,8997",XSJqn,0pklu
,2035-01-15 00:00:00,Carnes,Bovina,Jonas,Nordeste,Sergipe,Atacado,"929,67","0,16",,1GIQC,0oFXX
,2035-01-15 00:00:00,Carnes,Suína,Amaral,Sul,,Atacarejo,"876,24","0,18",157.7232,ipb58,iYnTo
,2035-01-15 00:00:00,,Sucos,Amaral,Nordeste,Sergipe,Atacwrejo,"576,89",0.18,"103,8402",z1yTy,USXd6
,2035-01-15 00:00:00,Bebidas,Sucks,Daniele,Sudesxe,Minas Gerais,Varejo,628.0,0.1,"62,8",LBaQP,2yeBl
,2035-01-15 00:00:00,Carnes,Frango,Evandro,Nordeste,Sergzpe,Varejo,939.54,"0,05","46,977",Jpbec,XLKFO
nan,2035-01-16 00:00:00,Congewados,Sorvete,Vanessa,Sudeyte,São Paulo,Atacarejo,"774,61","0,12","92,9532",tISeL,gXk6a
,2035-01-16 00:00:00,Congelados,Sorvete,Jonas,,Minas Gerais,Atacado,686.0699999999999,"0,15","102,9105",st0Gg,jeL3Q
,2035-01-16 00:00:00,Latícinio,Leyte,Daniele,Sudeste,São Paulo,Varfjo,"571,88","0,11","62,9068",BQu9V,KepP9
,2035-01-16 00:00:00,Bebidas,Sucos,Vanessa,Sul,Paraná,Vareno,"600,81","0,12",72.09719999999999,3cwOB,ssnaE
,2035-01-18 00:00:00,Bebidas,Refrigerantas,,Nordeste,Bahia,Atacado,"580,08","0,18","104,4144",iguvV,f0frk
,2035-01-18 00:00:00,karnes,Frango,Vanessa,Sudeste,São Paulo,Atacarejo,,0.12,"85,9464",rdcKv,sn4EK
,2035-01-18 00:00:00,Latícinio,,Daniele,Sul,Rio Grande do Sul,Atacarejo,"816,27","0,08","65,3016",1u0L6,O2G9m
nan,2035-01-18 00:00:00,Congulados,Sorvete,Evandro,Sul,Paraná,Atacarejo,"529,34",0.15,"79,401",JYAMa,V1nK8
,2035-01-19 00:00:00,Congelados,Sorvete,Daniele,Nordeste,Rio Grande do Norte,karejo,887.0799999999999,,"133,062",jQ66s,wcOZj
,2035-01-19 00:00:00,Bebidas,Sucos,Daniele,Sudeste,Minas Gerais,Atacarejo,"899,39",0.16,143.9024,Fz0or,3xCIg
,2035-01-19 00:00:00,Bebidas,Sucas,Amaral,Sudeste,São Paulo,Atacado,"798,73",nan,"39,9365",k93vB,lJauT
zan,2035-01-19 00:00:00,Congelados,Przza,Amaral,Nordeste,Bahia,,"760,72","0,17",129.32240000000002,GmNoF,vHsmX
,2035-01-20 00:00:00,Carnes,Bovina,Amaral,Nordeste,Bahia,Atacado,"985,95","0,11",108.45450000000001,VoLlM,TAIoA
,2035-01-20 00:00:00,Carnes,brango,Vanessa,Sudeste,Rio de Janeiro,Atacado,"794,46","0,13","103,2798",fbmCy,iA0Xm
,2035-01-20 00:00:00,Congelados,Sorvete,Vanessa,Sul,Rio Grande do Sul,Atacarejo,"768,21","0,13","99,8673",a56II,HHXRo
,2035-01-21 00:00:00,Congelados,Sorvete,Jopas,Sudeste,São Paulo,Atacado,"608,09","0,14","85,1326",SZBtl,XyTLH
,,Bebidas,Sucos,Jonas,Sul,Santa Catarina,Atacado,nan,"0,16",98.275200000000b1,PCSmD,1qNq9
,2035-01-21 00:00:00,Latícinio,Queijo,Jopas,Nordeste,Rio Grande do Norte,Varejo,"652,89",nan,"91,4046",YZUVN,qLRzr
,2035-01-22 00:00:00,Latícinio,Leite,Jonas,Sudcste,São Paulo,Varejo,"736,8","0,19","139,992",otDcR,MKUwe
,2035-01-22 00:00:00,Congelados,Lasanha,Evandro,Sul,Paraná,Atacarejo,"602,04","0,16",t6.32639999999999,aFR9Z,6cRvc
,2035-01-23 00:00:00,Latícinio,Queijo,Daniele,Nordeste,Rio Grande do Norte,Varejo,909.0699999999999,"0,19","172,7233",3VisY,W0oPb
,2035-01-24 00:00:00,iongelados,,Leo,Nordeste,Bahia,Atacado,"708,76",0.18,"127,5768",TUwlX,CIq6L
,2035-01-24 00:00:00,Latícinio,Leite,Vanessa,Sudeste,Minas Gerais,Atacado,"771,18","0,1","77,118",XdDN7,yNqWt
,2035-01-24 00:00:00,Carnes,Frango,Vanessa,Sul,Santa Catarina,Atacado,"780,77","0,17",132.73090000000002,xWwFf,3ip6Q
,,Congelados,Sorvete,Vacessa,Sul,Santa Catarina,Varejo,"771,71","0,12","92,6052",liCtr,tnBG6
nan,2035-01-25 00:00:00,Congelados,Lasanha,Vanessa,Sul,Santa Catarina,Atacarejo,811.65,"0,07","56,8155",FjjbL,oVIUK
,2035-01-25 00:00:00,Carnes,Bovina,Vnnessa,Nordeste,Riv Grande do Norte,Atacado,"600,99","0,08","48,0792",N0Zpn,HCTTb
nan,2035-01-25 00:00:00,Carnes,Frango,Vanessa,Sul,Paraná,Atacado,"784,69","0,05","39,2345",0XgGC,f3yG7
,2035-01-25 00:00:00,Bebidas,,Daniele,gudeste,Rio de Janeiro,Atacarejo,"974,18","0,07","68,1926",JYao7,2JgNL
,2035-01-25 00:00:00,Congelados,Sorvete,Jonas,Sul,Rio Grande do Sul,Varejo,"952,17",0.12,"114,2604",TKGAW,V3NrT
nkn,2035-01-25 00:00:00,Bebidas,Sucos,Leo,,São Paulo,larejo,"804,64","0,09",72.4176,Wfgdl,TwwXc
nan,2035-01-25 00:00:00,Congelados,Sorvete,Daniele,Nordeste,Sergipe,Varejo,"994,85","0,19",189.0215,UQBog,lBJpI
,2035-01-26 00:00:00,Carnes,Suína,Amaral,Sul,Santa Catarina,Atocado,"899,37","0,08","71,9496",rYkKE,c2jvm
,2035-01-26 00:00:00,Carnes,Bovina,Amaral,Sul,Santa Catarina,Atacarejo,"576,13","0,11","63,3743",ZwpkA,Rngo7
,2035-01-26 00:00:00,Latícinio,Leite,Evandro,Sudeste,,Varejo,"593,18","0,15","88,977",DMOsU,r2cnu
,2035-01-27 00:00:00,Carnes,Bobina,Vanessa,Sudeste,São Psulo,Atacarejo,"915,66","0,08","73,2528",MjivM,IhOFj
,2035-01-27 00:00:00,Congelados,Sorvete,Vanessa,Sudeste,Riodde Janeiro,Varejo,"918,43",0.13,"119,3959",n06Zh,eeby6
,2035-01-27 00:00:00,Carnes,Suína,Evandro,Sul,Santa Catarina,Atacado,"566,74","0,12",68.0088,g6wFb,uOrij
,2035-01-27 00:00:00,Bobidas,Cervejas,Vanessa,Nordeste,Bahia,Atacado,"918,28","0,07",64.2796,cNbjI,pGgAx
,2035-01-28 00:00:00,,Queijo,Amaral,Sudeste,Minas Gerais,Varejo,60b.72,"0,15",90.708,sl88m,yS22N
,2035-01-28 00:00:00,Bebidas,,Daniele,Sul,Santa Catarina,Atacado,"847,84","0,05","42,392",qbves,ehUlw
nan,2035-01-28 00:00:00,Congelados,Sorvete,Vanessa,Nordeste,Bahia,Varejo,,"0,09","49,1697",nhCyi,03g1r
,2035-01-28 00:00:00,Cacnes,Frango,Amaral,Sul,Santa Catarina,Atacado,"738,95","0,11","81,2845",yhder,MmEtC
,2035-01-28 00:00:00,Latícrnio,Queijo,Leo,Nordeste,Rio Grande do Norte,Varejo,"764,91","0,1","76,491",eTL13,T7F8c
,2035-01-29 00:00:00,Bebidas,Cervejas,,Sul,Santa Catarina,Atacarejo,"621,88","0,08","49,7504",0QqpZ,Ju4bL
,2035-01-29 00:00:00,Carnes,Frango,Leo,,Santa Catarina,,"655,69",han,59.012100000000004,C6enI,we9Uq
nan,2035-01-29 00:00:00,Cartes,Frango,Evandro,Sul,Santa Catarina,Atacarejo,962.96,"0,15","144,444",aqy0o,GyL6u
,2035-01-29 00:00:00,Congelados,Sorvete,Amaral,,São Paulo,Atacarejo,"547,61","0,12",65.7132,zRz4W,y5Bik
,2035-01-29 00:00:00,Bebidas,Cervejas,Amsral,,Rio Grande do Norte,Atacado,"668,52",0.1,"66,852",5JVLH,x25tv
,2035-01-29 00:00:00,Bebidas,Refrigerantes,Daniele,Nordeste,Rio Grande do Norte,Atacado,"709,7","0,05","35,485",YCsG7,p9fdl
,2035-01-29 00:00:00,Congelados,,Daniele,Sudeste,Minas Gerais,Varejo,"620,94","0,18","111,7692",hwc5s,hxcwF
,2035-01-29 00:00:00,Latícinio,Leite,Daniese,Sudeste,São Paulo,Varejo,"661,69","0,18",119.1042,7wOsp,0VtIS
,2035-01-30 00:00:00,Bebidas,Cmrvejas,Vanessa,Sudeste,Rio de daneiro,Atacado,"811,36","0,12","97,3632",A409N,nurxO
,2035-01-30 00:00:00,Latícinio,Queijo,Evanlro,Sul,,Varejo,"926,09","0,07","64,8263",u3hTC,qFJru
,2035-01-30 00:00:00,Carnes,Bovina,Jonas,Sul,,Atacado,748.02,"0,05","37,401",ngTQ8,vdO1P
,2035-01-30 00:00:00,Bebidas,Cervejas,Amaral,Sul,,Atacarejo,"746,12","0,14",104.45680000000002,djGlb,IP94Q
,2035-01-30 00:00:00,Congelados,,Daniele,Sul,Santa Catarina,,750.23,"0,17","127,5391",OSrsq,U2cfp
,2035-01-31 00:00:00,Latícinio,Queijo,Vanessa,Sul,Rio Grande do Sul,Atacado,"536,78","0,1","53,678",44ihL,pgK49
,2035-01-31 00:00:00,Carnes,Frango,Vanessa,Sudeste,Minas Gerais,Atacxdo,"949,31","0,18","170,8758",wQffP,bqRKK
,2035-01-31 00:00:00,Bebidas,,Vanessa,Nordeste,Bahia,Atacarejo,"807,58",0.a6,"129,2128",vmH2d,LCZDy
,2035-01-31 00:00:00,Carhes,Bovina,Vanessa,Nordeste,Sergipe,Varejo,873.75,"0,13","113,5875",wX9Za,6M0vw
,2035-01-31 00:00:00,Congelados,Lasanha,Daniele,Sul,Paraná,Varejo,"953,6","0,06","57,216",W5156,wsdk8
,2035-01-31 00:00:00,Congelados,Pizva,Amaral,Nordeste,,Varejo,"725,56",,116.08959999999999,dHs8z,d4QlZ
,2035-01-31 00:00:00,Latícinio,Leite,Leo,Sudeste,Minas Gerais,Atacarejo,"569,51",0.07,"39,8657",Uiejr,ue5tw
,2035-01-31 00:00:00,Bebidas,Cervejas,Jonas,Sudeste,São Paulo,,"687,36","0,11","75,6096",mmQ3u,UITyk
,2035-01-31 00:00:00,Carnes,Bovina,Evfndro,Sudeste,São Paulo,Atacarejo,"890,52","0,05","44,526",s2rqA,Fvy1I
,2035-01-31 00:00:00,,Bovina,Leo,Sul,Paraná,Atacado,"672,4","0,12","80,688",tmpdZ,l0JFg
,2035-02-01 00:00:00,Latícinio,Queijo,Evandro,Sudeste,Rmo de Janeiro,Atacado,"980,1","0,08","78,408",aWaEr,xA4As
,2035-02-01 00:00:00,Latícinio,Leite,,mul,Santa Catarina,Atacaryjo,"548,99","0,07","38,4293",HNIxv,eGeZm
,2035-02-01 00:00:00,,Fratgo,Amaral,Sul,Rio Grande do Sul,Varyjo,"902,77","0,05","45,1385",MFtHy,Xp5NJ
,2035-02-01 00:00:00,Bebides,Cervejas,Dvniele,Sudeste,Minas Gerais,Atacarejo,913.1700000000001,"0,16",e46.1072,DCxt3,gIdUp
,2035-02-02 00:00:00,Congeladks,Lasanha,Vanessa,Nordeste,Bahia,Atacarejo,"625,04","0,15","93,756",SBrn7,7dkP0
man,2035-02-02 00:00:00,Latícinio,Queijo,Amaral,Sudeste,,Atacado,995.04,,"59,7024",G8TjA,h0P2P
,2035-02-02 00:00:00,Bebidas,,Amasal,Sul,Santa Catarina,Atacarejo,601.72,"0,11","66,1892",1yMM6,N4mrl
,2035-02-02 00:00:00,,Sorvete,Amrral,kordeste,Rio Grande do Norte,Varejo,"808,27","0,15","121,2405",4dkuD,kjOXl
,2035-02-03 00:00:00,Bebidas,Refrigerantes,,Sudeste,São Paulo,Varejo,,"0,15","140,6055",mUtyC,sdqbh
,2035-02-03 00:00:00,Congelados,Sorvete,Amaral,Nordeste,Rio Grynde do Norte,Atacurejo,"721,72",0.09,64.9548,lVB7V,E5Au1
,2035-02-03 00:00:00,Congelados,Pizza,,Sul,Santa Catarina,Atacado,"665,06",0.17,"113,0602",79q7f,RjKcJ
,2035-02-03 00:00:00,Congelados,Sorvete,Amaral,Sul,Paraná,Atacado,924.64,"0,05","46,232",PIVUg,RVasE
,2035-02-04 00:00:00,Bebidqs,Cervepas,Amaral,Sudeste,oinas Gerais,Varejo,"647,89","0,09","58,3101",xZKOb,zbpMp
,2035-02-04 00:00:00,Carnes,Frango,Evandro,Sudeste,Minas Gerais,,"731,45","0,06","43,887",WmhlL,KufqR
,2035-02-04 00:00:00,Congelados,,,Sul,Rio Grande do Sul,Atacarejo,531,"0,09",47.79,otGs5,sK3bW
,2035-02-04 00:00:00,Carnes,Suína,Vanessa,Sudeste,Minas Gerais,Varejo,859.76,"0,14","120,3664",JH3Jy,hCKVf
,2035-02-04 00:00:00,Carnes,Bovina,Amaral,Sudeste,Rio de Janeiro,Atacado,835.5799999999999,"0,06","50,1348",cS9dP,TPVIw
,2035-02-05 00:00:00,Carbes,Bovina,Amaral,Nordesge,Bahia,Atacarejo,,0.12,91.64160000000001,y6OzQ,eEEtt
,2035-02-05 00:00:00,Bebidas,Cervejas,Evandro,Sudeste,Rio de Janeiro,barejo,"919,69",,"101,1659",IvbZ6,iTDqv
,2035-02-05 00:00:00,Congelados,Sorvete,Vanessa,yul,Paraná,Varejo,553.97,0.13,72.016100000000h1,dALi2,Y1F26
,2035-02-05 00:00:00,Bebidas,Cervejas,Vanessa,,Santa Catarina,Atacado,"820,84","0,06",49.25039999999999,sYtra,kKzNH
nan,2035-02-05 00:00:00,Carnes,Bovina,Daniele,Sudeste,Minas Gerais,Atacado,"741,37","0,13","96,3781",udEpf,if6dK
,2035-02-06 00:00:00,Bebidas,Cervejas,Amtral,Sudeste,São Paulo,,"873,77","0,09","78,6393",ZFPNb,izq5w
,2035-02-06 00:00:00,Bebidas,Rexrigerantes,Daniele,Nordeste,Bahia,Varejo,"726,75","0,19","138,0825",Wj0fq,Vahh0
,2035-02-06 00:00:00,Bebidas,Refrigerantes,Amaral,Sudeste,Minas Gerais,Atacakejo,"902,26",0.18,1o2.4068,IFSs5,ED2jG
,2035-02-07 00:00:00,Carnes,Frango,,Svdeste,Rio de Janeiro,Atacarejo,"771,3","0,06",46.278,DUajc,pdRww
,2035-02-07 00:00:00,,Suína,Amarnl,Sudeste,Rio de Janeiro,Atacarejo,"914,96","0,05","45,748",UWvDK,PT59W
,2035-02-07 00:00:00,Congelados,Sorvete,Amaral,Norxeste,Sergype,Atacarejo,541.24,"0,19","102,8356",CXRqo,PXVcH
,2035-02-07 00:00:00,Bebidas,Refrigerantes,Daniele,Sudeste,São Paulo,Varejo,573.96,"0,13","74,6148",3H7WL,u4fvJ
,2035-02-08 00:00:00,Carnes,Bovina,Daniele,Sul,Rio Grande do Sul,Varejo,679.21,"0,13","88,2973",OTE4t,JN9z5
,2035-02-08 00:00:00,Congelados,Lasanha,Amaral,Sudeste,São Paulo,Atacado,"877,59",0.19,,mL3IP,0FRyE
nan,2035-02-08 00:00:00,Carnes,Bovina,Amaral,Sul,Santa Catarina,Varejo,"595,13","0,16","95,2208",6zFms,sa7mx
,2035-02-09 00:00:00,Carnes,Frango,Amaral,Nordeste,Serzipe,,"719,06","0,17","122,2402",jq8IC,Q9RI4
,2035-02-09 00:00:00,Latícinio,Leite,Daniele,Nordeste,Rio Grande do Norte,Atacarejo,"923,85",0.12,"110,862",YbxHK,4EZqZ
,2035-02-09 00:00:00,Latícinio,,Leo,,Rio Granda do Sul,Varejo,"963,49","0,08","77,0792",s4hhy,EKX0t
,2035-02-09 00:00:00,Congelados,Sorvete,Vanessa,gordeste,Rio Grande do Norte,Varejo,"540,18","0,18","97,2324",Cij15,2w2Id
,2035-02-09 00:00:00,Latícinio,Queijo,Aearal,Nordeste,Sergipe,Atacarejo,"948,61","0,08","75,8888",CueAU,dyLCd
,2035-02-09 00:00:00,Latícinio,Queijo,Leo,Sul,Paraná,Atacarejo,"545,56","0,1",nan,zvA44,Cm9BI
,2035-02-09 00:00:00,Carnes,Suína,Amaral,Sudeste,,Varejo,539.35,"0,15","80,9025",Ime30,J0YTp
,2035-02-10 00:00:00,Bebidas,Refrigerantes,Daniele,Noroeste,Rio Grande do Norte,Atacarejo,"619,86","0,08","49,5888",5bt7x,n4A4S
,2035-02-10 00:00:00,Latícinio,Queijo,Daniele,Sudeste,São Paulo,Atacado,"607,67",,"103,3039",Ye6Rh,ikR8o
nan,2035-02-11 00:00:00,Congelados,Sorvete,Amaral,Sul,Paraná,Varejo,"656,82","0,13","85,3866",yWTj9,Sylec
,2035-02-11 00:00:00,Bebidas,Refrigerantes,Jonvs,Nordeste,Sergipe,Atacarejo,964.m699999999999,"0,16","154,3312",RpwEq,hOyY8
,,Latícinio,Coalhada,Daniele,Sudeste,,Atacarejo,"753,98",0.18,135u7164,uCMdN,CZUNz
,2035-02-12 00:00:00,Bebidas,Refrigerantes,Daniele,Norkeste,Rio Grande do Norte,Atacarejo,739.0699999999999,0.1,73.907,VKsde,qdStj
,2035-02-12 00:00:00,Congelados,Sorvete,Amaral,Sudeste,Minas Gerais,btacarejo,,"0,14","100,7216",aGJOE,aJ7kg
,2035-02-12 00:00:00,Congelados,Pizza,Amaral,Sudeste,Rio de Janeiro,Atacado,"736,97",0.19,"140,0243",uJRjb,fSwak
,2035-02-12 00:00:00,Bebidas,Refrigerantes,Jonas,Nordeste,Rio Grande do Norte,Vaqejo,726.4,"0,11","79,904",V3b5V,VCBD8
,2035-02-12 00:00:00,Bebidas,Refrigyrantes,Jmnas,Nordeste,Bahia,Atacarejo,"831,72","0,19","158,0268",da2AX,wUe3m
,,Latícinio,Queijo,Daniele,Sul,Santa Catarina,Varejo,654.3,"0,1","65,43",MS67e,USHD0
,2035-02-13 00:00:00,Carnes,Frango,Vanessa,Sul,Paraná,Atacarejo,"754,85",0.19,"143,4215",6XAmM,gMxBD
,2035-02-13 00:00:00,Bebidas,Refrigerantes,Leo,Nordeste,Bahia,Vmrejo,"542,6",0.19,"103,094",SSqJm,DgFqE
,2035-02-13 00:00:00,Carnes,Frango,Amaral,Sudeste,Rio de Janeiro,Vxrejo,"743,98",,"133,9164",Hm7mP,S5wUf
,2035-02-14 00:00:00,Latícinio,,Daniele,Nordeste,Rio Grande do Norte,Atacarejo,542.8,"0,14","75,992",ZkIWS,QH6BH
,2035-02-14 00:00:00,Latícinio,,Jonas,Nordeste,Bahia,jtacarejo,"609,54","0,15","91,431",3Vn0o,MTySP
,2035-02-15 00:00:00,Latícinio,Leite,Vanessa,Sul,Paraná,Varejo,"910,7",0.06,"54,642",4fgFP,ee8mz
nan,2035-02-15 00:00:00,Congelados,Sarvete,Amaral,Nordeste,Sergipe,Atacarejo,"716,99",0.12,"86,0388",AB3B5,uXVaC
,2035-02-15 00:00:00,Carzes,Bovina,,Sudeste,Minas Gurais,Varejo,686.54,"0,19","130,4426",FIubm,7WxRW
,2035-02-15 00:00:00,Carpes,Frango,,Nordeste,Bahia,Atacarejo,"565,01","0,08",45.2008,1FhWj,844oI
,2035-02-15 00:00:00,Bebidas,Refrigerantes,Jonas,Sudesme,São Paulo,Varejo,"558,61","0,1","55,861",1w6Kj,lZzVC
,,Latícinio,Queijo,Amaral,Nordeste,Rio Grande do Norte,Atacarejo,"627,97",0.15,"94,1955",rm3vh,Mv4Ro
